id,day,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
0,3,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
1,3,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
2,3,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
3,4,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
4,4,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
5,4,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
6,4,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
7,5,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
8,5,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
9,5,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
10,5,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
11,6,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
12,6,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
13,6,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
14,6,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
15,7,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
16,7,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
17,7,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
18,7,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
19,8,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
20,8,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
21,8,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
22,8,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
23,9,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
24,9,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
25,9,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
26,9,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
27,10,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
28,10,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
29,10,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
30,10,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
31,11,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
32,11,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
33,11,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
34,11,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
35,12,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
36,12,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
37,12,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
38,12,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
39,13,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
40,13,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
41,13,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
42,13,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
43,14,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
44,14,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
45,14,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
46,14,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
47,15,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
48,15,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
49,15,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
50,15,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
51,16,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
52,16,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
53,16,DAL,-96.8496,32.8439,LBB,-101.821,33.6566
54,16,ISP,-73.0984,40.7891,RSW,-81.7531,26.5228
55,17,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
56,17,RSW,-81.7531,26.5228,ISP,-73.0984,40.7891
